"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14599","validating the search feature -- @1.2 ","","Thu Aug 01 11:08:48 EET 2024","failed","Thu Aug 01 11:09:03 EET 2024","","","",""
"","14486","validating the search feature -- @1.1 ","","Thu Aug 01 11:08:34 EET 2024","failed","Thu Aug 01 11:08:48 EET 2024","","","",""
